,Parameters,Accuracy,Loss
113,"(0.9, 1e-06, 4)",0.44684210733363505,1.591239621764735
114,"(0.1, 1e-06, 4)",0.44684210576509176,1.3320350521489193
115,"(0.5, 1e-07, 4)",0.44684210576509176,1.5902547208886397
116,"(0.75, 0.1, 3)",0.44684210419654846,8.915851793791118
117,"(0.75, 1e-06, 4)",0.44684210419654846,1.5336506680438393
118,"(0.9, 0.01, 5)",0.44684210419654846,1.9496363087704307
119,"(0.1, 0.1, 1)",0.44684210419654846,8.91585181888781
120,"(0.25, 1e-06, 3)",0.44684210419654846,1.3624625394218846
121,"(0, 1e-07, 3)",0.44684210262800517,1.564958509645964
122,"(0.9, 0.1, 2)",0.44631579047755193,8.924334927609092
123,"(0.9, 1e-06, 3)",0.44631578890900864,1.5736398006740369
124,"(0.5, 0.1, 2)",0.44631578890900864,8.924334977802477
125,"(0.9, 0.1, 3)",0.44631578890900864,8.92433500289917
126,"(0.5, 1e-06, 4)",0.44631578734046534,1.3983341643684788
127,"(0.75, 0.1, 5)",0.44631578734046534,8.92433500289917
128,"(0.5, 1e-06, 5)",0.44631578734046534,1.411679838833056
129,"(0, 1e-07, 2)",0.44631578734046534,1.5670071526577598
